Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -148.53608881540566, time: 8.335
steps: 49975, episodes: 2000, mean episode reward: -103.68684377443766, time: 16.056
steps: 74975, episodes: 3000, mean episode reward: -59.32755811109752, time: 16.394
steps: 99975, episodes: 4000, mean episode reward: -55.658548333763235, time: 16.8
steps: 124975, episodes: 5000, mean episode reward: -48.78068274075959, time: 16.763
steps: 149975, episodes: 6000, mean episode reward: -45.62387744833392, time: 16.793
steps: 174975, episodes: 7000, mean episode reward: -45.990286205749925, time: 16.867
steps: 199975, episodes: 8000, mean episode reward: -43.480115002794975, time: 16.811
steps: 224975, episodes: 9000, mean episode reward: -45.00474910064538, time: 16.86
steps: 249975, episodes: 10000, mean episode reward: -44.70044901921295, time: 17.025
steps: 274975, episodes: 11000, mean episode reward: -45.8641892897439, time: 17.022
steps: 299975, episodes: 12000, mean episode reward: -45.196924869323524, time: 17.07
steps: 324975, episodes: 13000, mean episode reward: -44.15812626081129, time: 17.042
steps: 349975, episodes: 14000, mean episode reward: -46.11171180167419, time: 17.115
steps: 374975, episodes: 15000, mean episode reward: -45.761832168660085, time: 17.183
steps: 399975, episodes: 16000, mean episode reward: -44.22318967329029, time: 17.096
steps: 424975, episodes: 17000, mean episode reward: -45.73900337968167, time: 17.147
steps: 449975, episodes: 18000, mean episode reward: -54.29196405970789, time: 17.118
steps: 474975, episodes: 19000, mean episode reward: -52.308138892253346, time: 17.103
steps: 499975, episodes: 20000, mean episode reward: -46.42247673577974, time: 17.105
steps: 524975, episodes: 21000, mean episode reward: -41.036266191331435, time: 17.136
steps: 549975, episodes: 22000, mean episode reward: -39.642025607951176, time: 17.194
steps: 574975, episodes: 23000, mean episode reward: -36.45311347315897, time: 17.198
steps: 599975, episodes: 24000, mean episode reward: -35.74039275808141, time: 17.191
steps: 624975, episodes: 25000, mean episode reward: -34.843711386569325, time: 17.196
steps: 649975, episodes: 26000, mean episode reward: -36.4895947889231, time: 17.184
steps: 674975, episodes: 27000, mean episode reward: -35.97259711677981, time: 17.224
steps: 699975, episodes: 28000, mean episode reward: -33.75751010958763, time: 17.324
steps: 724975, episodes: 29000, mean episode reward: -33.3017639397093, time: 17.147
steps: 749975, episodes: 30000, mean episode reward: -32.8096660832101, time: 17.243
steps: 774975, episodes: 31000, mean episode reward: -32.14322949425419, time: 17.229
steps: 799975, episodes: 32000, mean episode reward: -31.73446752358774, time: 17.211
steps: 824975, episodes: 33000, mean episode reward: -31.281472711699884, time: 17.265
steps: 849975, episodes: 34000, mean episode reward: -32.28410628626015, time: 17.184
steps: 874975, episodes: 35000, mean episode reward: -30.605685590147644, time: 17.376
steps: 899975, episodes: 36000, mean episode reward: -32.20923153199045, time: 17.233
steps: 924975, episodes: 37000, mean episode reward: -30.828824282725108, time: 17.252
steps: 949975, episodes: 38000, mean episode reward: -29.517031364243625, time: 17.222
steps: 974975, episodes: 39000, mean episode reward: -30.412454181033052, time: 17.201
steps: 999975, episodes: 40000, mean episode reward: -30.30093030281524, time: 17.222
steps: 1024975, episodes: 41000, mean episode reward: -32.16947324183573, time: 17.206
steps: 1049975, episodes: 42000, mean episode reward: -31.202840968939007, time: 17.382
steps: 1074975, episodes: 43000, mean episode reward: -31.14891405803882, time: 17.372
steps: 1099975, episodes: 44000, mean episode reward: -30.39493831776108, time: 17.288
steps: 1124975, episodes: 45000, mean episode reward: -30.25377432532274, time: 17.296
steps: 1149975, episodes: 46000, mean episode reward: -31.188993410016103, time: 17.259
steps: 1174975, episodes: 47000, mean episode reward: -30.679528186083438, time: 17.32
steps: 1199975, episodes: 48000, mean episode reward: -31.673299784312615, time: 16.59
steps: 1224975, episodes: 49000, mean episode reward: -30.026492274762905, time: 17.268
steps: 1249975, episodes: 50000, mean episode reward: -30.94500507563941, time: 17.333
steps: 1274975, episodes: 51000, mean episode reward: -31.55890771584669, time: 17.221
steps: 1299975, episodes: 52000, mean episode reward: -31.465704163078634, time: 17.191
steps: 1324975, episodes: 53000, mean episode reward: -31.135936979092083, time: 17.271
steps: 1349975, episodes: 54000, mean episode reward: -29.661341478062678, time: 17.211
steps: 1374975, episodes: 55000, mean episode reward: -30.075961456813822, time: 17.115
steps: 1399975, episodes: 56000, mean episode reward: -32.01526914018094, time: 16.909
steps: 1424975, episodes: 57000, mean episode reward: -32.08315369292272, time: 17.333
steps: 1449975, episodes: 58000, mean episode reward: -34.13461576750355, time: 17.394
steps: 1474975, episodes: 59000, mean episode reward: -33.8645245694407, time: 17.464
steps: 1499975, episodes: 60000, mean episode reward: -33.676602370693956, time: 17.273
...Finished total of 60001 episodes.
