Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -670.7101321388185, time: 18.135
steps: 49975, episodes: 2000, mean episode reward: -835.0080321360506, time: 34.894
steps: 74975, episodes: 3000, mean episode reward: -602.3141643854261, time: 34.592
steps: 99975, episodes: 4000, mean episode reward: -556.2425236120503, time: 33.179
steps: 124975, episodes: 5000, mean episode reward: -537.7085777479904, time: 33.494
steps: 149975, episodes: 6000, mean episode reward: -523.0456575818814, time: 36.39
steps: 174975, episodes: 7000, mean episode reward: -518.1638203555947, time: 36.496
steps: 199975, episodes: 8000, mean episode reward: -516.2056093141703, time: 36.722
steps: 224975, episodes: 9000, mean episode reward: -513.1636744813732, time: 36.926
steps: 249975, episodes: 10000, mean episode reward: -512.4572161100775, time: 36.593
steps: 274975, episodes: 11000, mean episode reward: -498.5395449371346, time: 36.547
steps: 299975, episodes: 12000, mean episode reward: -499.95070373184365, time: 36.813
steps: 324975, episodes: 13000, mean episode reward: -496.2892038771787, time: 37.098
steps: 349975, episodes: 14000, mean episode reward: -492.8469719354097, time: 35.12
steps: 374975, episodes: 15000, mean episode reward: -496.04651949624184, time: 34.975
steps: 399975, episodes: 16000, mean episode reward: -489.25689401170007, time: 35.016
steps: 424975, episodes: 17000, mean episode reward: -487.9378366697361, time: 35.11
steps: 449975, episodes: 18000, mean episode reward: -486.1730698813838, time: 35.144
steps: 474975, episodes: 19000, mean episode reward: -488.0849712759087, time: 36.924
steps: 499975, episodes: 20000, mean episode reward: -481.8545478368059, time: 36.496
steps: 524975, episodes: 21000, mean episode reward: -485.72914812462545, time: 36.743
steps: 549975, episodes: 22000, mean episode reward: -483.42746905692, time: 36.133
steps: 574975, episodes: 23000, mean episode reward: -480.8755415986398, time: 35.073
steps: 599975, episodes: 24000, mean episode reward: -480.69954759602496, time: 35.28
steps: 624975, episodes: 25000, mean episode reward: -484.53384151324485, time: 35.156
steps: 649975, episodes: 26000, mean episode reward: -476.8519146656027, time: 35.151
steps: 674975, episodes: 27000, mean episode reward: -481.75716193351303, time: 35.298
steps: 699975, episodes: 28000, mean episode reward: -475.49447711506417, time: 35.233
steps: 724975, episodes: 29000, mean episode reward: -474.315712889886, time: 35.236
steps: 749975, episodes: 30000, mean episode reward: -477.29663659339843, time: 35.106
steps: 774975, episodes: 31000, mean episode reward: -472.39033082156607, time: 35.252
steps: 799975, episodes: 32000, mean episode reward: -471.24363996820256, time: 35.218
steps: 824975, episodes: 33000, mean episode reward: -472.94876493191487, time: 35.16
steps: 849975, episodes: 34000, mean episode reward: -469.23301257957456, time: 34.881
steps: 874975, episodes: 35000, mean episode reward: -466.5158955469807, time: 35.212
steps: 899975, episodes: 36000, mean episode reward: -461.39965998498235, time: 35.245
steps: 924975, episodes: 37000, mean episode reward: -466.2063777875069, time: 35.202
steps: 949975, episodes: 38000, mean episode reward: -464.0298535845489, time: 35.408
steps: 974975, episodes: 39000, mean episode reward: -460.5699931864275, time: 35.914
steps: 999975, episodes: 40000, mean episode reward: -454.4621634504759, time: 36.984
steps: 1024975, episodes: 41000, mean episode reward: -456.88202977924607, time: 36.966
steps: 1049975, episodes: 42000, mean episode reward: -460.34347852938026, time: 36.85
steps: 1074975, episodes: 43000, mean episode reward: -459.74017266888325, time: 36.403
steps: 1099975, episodes: 44000, mean episode reward: -450.83890805330634, time: 33.277
steps: 1124975, episodes: 45000, mean episode reward: -453.3589463150341, time: 36.08
steps: 1149975, episodes: 46000, mean episode reward: -453.499017402746, time: 35.689
steps: 1174975, episodes: 47000, mean episode reward: -449.5538425248159, time: 35.538
steps: 1199975, episodes: 48000, mean episode reward: -447.88377047195587, time: 35.498
steps: 1224975, episodes: 49000, mean episode reward: -452.61899131202904, time: 35.493
steps: 1249975, episodes: 50000, mean episode reward: -446.6135382126514, time: 35.676
steps: 1274975, episodes: 51000, mean episode reward: -446.1085640429951, time: 35.736
steps: 1299975, episodes: 52000, mean episode reward: -445.4321899362558, time: 35.489
steps: 1324975, episodes: 53000, mean episode reward: -445.99897267150203, time: 35.64
steps: 1349975, episodes: 54000, mean episode reward: -439.9297870898008, time: 35.74
steps: 1374975, episodes: 55000, mean episode reward: -438.8531339578063, time: 35.686
steps: 1399975, episodes: 56000, mean episode reward: -439.3482335249905, time: 34.073
steps: 1424975, episodes: 57000, mean episode reward: -435.481416667172, time: 35.576
steps: 1449975, episodes: 58000, mean episode reward: -432.42365658073254, time: 35.516
steps: 1474975, episodes: 59000, mean episode reward: -434.47041703352073, time: 35.349
steps: 1499975, episodes: 60000, mean episode reward: -433.14640823513747, time: 35.466
