Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -149.95751883877, time: 8.713
steps: 49975, episodes: 2000, mean episode reward: -166.32053931537894, time: 16.863
steps: 74975, episodes: 3000, mean episode reward: -57.9389156778945, time: 16.98
steps: 99975, episodes: 4000, mean episode reward: -60.819128067734866, time: 17.056
steps: 124975, episodes: 5000, mean episode reward: -59.689498177273755, time: 16.89
steps: 149975, episodes: 6000, mean episode reward: -59.48642514208115, time: 17.039
steps: 174975, episodes: 7000, mean episode reward: -60.61244656049811, time: 17.031
steps: 199975, episodes: 8000, mean episode reward: -59.51470342450699, time: 17.024
steps: 224975, episodes: 9000, mean episode reward: -58.09179058612847, time: 17.061
steps: 249975, episodes: 10000, mean episode reward: -61.77015246060568, time: 17.065
steps: 274975, episodes: 11000, mean episode reward: -59.63197989019097, time: 17.082
steps: 299975, episodes: 12000, mean episode reward: -60.28856512264299, time: 17.159
steps: 324975, episodes: 13000, mean episode reward: -62.449029655057295, time: 17.052
steps: 349975, episodes: 14000, mean episode reward: -58.65773463695215, time: 16.948
steps: 374975, episodes: 15000, mean episode reward: -59.237765964122346, time: 17.275
steps: 399975, episodes: 16000, mean episode reward: -60.87663724045349, time: 17.009
steps: 424975, episodes: 17000, mean episode reward: -61.814745468972355, time: 16.62
steps: 449975, episodes: 18000, mean episode reward: -59.739997145915495, time: 17.029
steps: 474975, episodes: 19000, mean episode reward: -60.00566271378356, time: 17.208
steps: 499975, episodes: 20000, mean episode reward: -62.77500541050268, time: 17.446
steps: 524975, episodes: 21000, mean episode reward: -62.59493610305119, time: 17.259
steps: 549975, episodes: 22000, mean episode reward: -61.96619564657306, time: 17.289
steps: 574975, episodes: 23000, mean episode reward: -60.309075464972985, time: 17.408
steps: 599975, episodes: 24000, mean episode reward: -60.138443491635584, time: 17.364
steps: 624975, episodes: 25000, mean episode reward: -61.74057407428629, time: 17.216
steps: 649975, episodes: 26000, mean episode reward: -59.23280994164217, time: 17.296
steps: 674975, episodes: 27000, mean episode reward: -59.25352727764998, time: 17.443
steps: 699975, episodes: 28000, mean episode reward: -61.07049493447869, time: 17.338
steps: 724975, episodes: 29000, mean episode reward: -61.30587036744405, time: 17.321
steps: 749975, episodes: 30000, mean episode reward: -58.03756325454422, time: 17.31
steps: 774975, episodes: 31000, mean episode reward: -63.20241927562732, time: 17.255
steps: 799975, episodes: 32000, mean episode reward: -59.93821039719295, time: 17.286
steps: 824975, episodes: 33000, mean episode reward: -60.37020161510662, time: 17.272
steps: 849975, episodes: 34000, mean episode reward: -61.609170480991715, time: 17.368
steps: 874975, episodes: 35000, mean episode reward: -62.45003232013649, time: 17.449
steps: 899975, episodes: 36000, mean episode reward: -60.165119810991676, time: 17.271
steps: 924975, episodes: 37000, mean episode reward: -62.38278765569764, time: 17.303
steps: 949975, episodes: 38000, mean episode reward: -60.37793091604637, time: 17.317
steps: 974975, episodes: 39000, mean episode reward: -61.20470303778307, time: 16.71
steps: 999975, episodes: 40000, mean episode reward: -60.16031924467426, time: 16.74
steps: 1024975, episodes: 41000, mean episode reward: -59.38768607346238, time: 16.785
steps: 1049975, episodes: 42000, mean episode reward: -58.88182200935745, time: 17.109
steps: 1074975, episodes: 43000, mean episode reward: -58.712720823434225, time: 17.326
steps: 1099975, episodes: 44000, mean episode reward: -58.94917781241202, time: 17.283
steps: 1124975, episodes: 45000, mean episode reward: -60.2121848726857, time: 17.172
steps: 1149975, episodes: 46000, mean episode reward: -61.055477169839, time: 17.37
steps: 1174975, episodes: 47000, mean episode reward: -58.10446559539814, time: 17.05
steps: 1199975, episodes: 48000, mean episode reward: -61.68656274949173, time: 17.16
steps: 1224975, episodes: 49000, mean episode reward: -59.45560421956738, time: 17.203
steps: 1249975, episodes: 50000, mean episode reward: -59.07315051130652, time: 17.204
steps: 1274975, episodes: 51000, mean episode reward: -58.43961140092297, time: 17.376
steps: 1299975, episodes: 52000, mean episode reward: -59.09863090212291, time: 17.134
steps: 1324975, episodes: 53000, mean episode reward: -60.16355577461166, time: 17.101
steps: 1349975, episodes: 54000, mean episode reward: -59.33199311089064, time: 17.223
steps: 1374975, episodes: 55000, mean episode reward: -57.9708671207271, time: 17.241
steps: 1399975, episodes: 56000, mean episode reward: -58.368845505140406, time: 17.259
steps: 1424975, episodes: 57000, mean episode reward: -58.88309759100975, time: 17.339
steps: 1449975, episodes: 58000, mean episode reward: -58.581760573838054, time: 17.34
steps: 1474975, episodes: 59000, mean episode reward: -60.44208447303433, time: 17.491
steps: 1499975, episodes: 60000, mean episode reward: -58.03751052494817, time: 17.261
...Finished total of 60001 episodes.
