Using good policy maddpg and adv policy maddpg
Starting iterations...
steps: 24975, episodes: 1000, mean episode reward: -675.4054255725589, time: 18.109
steps: 49975, episodes: 2000, mean episode reward: -970.7416867380387, time: 35.72
steps: 74975, episodes: 3000, mean episode reward: -1209.4715205862597, time: 35.467
steps: 99975, episodes: 4000, mean episode reward: -1232.426094329711, time: 35.741
steps: 124975, episodes: 5000, mean episode reward: -1209.8913533367734, time: 35.626
steps: 149975, episodes: 6000, mean episode reward: -1211.929903311076, time: 35.641
steps: 174975, episodes: 7000, mean episode reward: -1213.357595398743, time: 35.672
steps: 199975, episodes: 8000, mean episode reward: -1216.916701037597, time: 35.85
steps: 224975, episodes: 9000, mean episode reward: -1323.713919021735, time: 35.629
steps: 249975, episodes: 10000, mean episode reward: -1360.4192226680796, time: 35.735
steps: 274975, episodes: 11000, mean episode reward: -1363.821424368111, time: 35.682
steps: 299975, episodes: 12000, mean episode reward: -1374.92597529952, time: 35.669
steps: 324975, episodes: 13000, mean episode reward: -1004.9770012685062, time: 34.914
steps: 349975, episodes: 14000, mean episode reward: -1079.415946582144, time: 35.841
steps: 374975, episodes: 15000, mean episode reward: -1379.9470389306414, time: 35.681
steps: 399975, episodes: 16000, mean episode reward: -1364.343479437572, time: 35.6
steps: 424975, episodes: 17000, mean episode reward: -1390.0695978035326, time: 35.822
steps: 449975, episodes: 18000, mean episode reward: -1369.54486963201, time: 35.647
steps: 474975, episodes: 19000, mean episode reward: -1383.8873207089393, time: 36.008
steps: 499975, episodes: 20000, mean episode reward: -1338.518504636437, time: 37.283
steps: 524975, episodes: 21000, mean episode reward: -846.1468471962946, time: 37.294
steps: 549975, episodes: 22000, mean episode reward: -963.3869345001482, time: 37.353
steps: 574975, episodes: 23000, mean episode reward: -1369.0117156487956, time: 37.482
steps: 599975, episodes: 24000, mean episode reward: -1378.1836512079187, time: 36.146
steps: 624975, episodes: 25000, mean episode reward: -1371.1358447078717, time: 35.855
steps: 649975, episodes: 26000, mean episode reward: -1380.7504161161137, time: 35.898
steps: 674975, episodes: 27000, mean episode reward: -1373.9741512814626, time: 34.917
steps: 699975, episodes: 28000, mean episode reward: -1365.2172723200376, time: 33.58
steps: 724975, episodes: 29000, mean episode reward: -1380.0640018452068, time: 35.845
steps: 749975, episodes: 30000, mean episode reward: -1376.4886610632689, time: 35.919
steps: 774975, episodes: 31000, mean episode reward: -1371.3619429146972, time: 35.904
steps: 799975, episodes: 32000, mean episode reward: -1365.7682981696419, time: 35.925
steps: 824975, episodes: 33000, mean episode reward: -1350.924531172866, time: 35.959
steps: 849975, episodes: 34000, mean episode reward: -1364.7787283774596, time: 35.991
steps: 874975, episodes: 35000, mean episode reward: -1350.0567679687808, time: 35.943
steps: 899975, episodes: 36000, mean episode reward: -989.7556814856837, time: 36.001
steps: 924975, episodes: 37000, mean episode reward: -933.7967194974474, time: 35.959
steps: 949975, episodes: 38000, mean episode reward: -1370.3610490682702, time: 35.879
steps: 974975, episodes: 39000, mean episode reward: -1378.8375020176686, time: 36.011
steps: 999975, episodes: 40000, mean episode reward: -1369.6018607833198, time: 35.98
steps: 1024975, episodes: 41000, mean episode reward: -1362.7761450980752, time: 35.94
steps: 1049975, episodes: 42000, mean episode reward: -1367.7552958309393, time: 36.015
steps: 1074975, episodes: 43000, mean episode reward: -1349.3275850948771, time: 36.076
steps: 1099975, episodes: 44000, mean episode reward: -1354.0681992392654, time: 36.076
steps: 1124975, episodes: 45000, mean episode reward: -1347.2161438271535, time: 36.042
steps: 1149975, episodes: 46000, mean episode reward: -1371.052212463601, time: 36.029
steps: 1174975, episodes: 47000, mean episode reward: -1353.395226475262, time: 36.08
steps: 1199975, episodes: 48000, mean episode reward: -1360.8672264671475, time: 36.083
steps: 1224975, episodes: 49000, mean episode reward: -1350.056423189427, time: 36.067
steps: 1249975, episodes: 50000, mean episode reward: -1365.4746199994727, time: 35.707
steps: 1274975, episodes: 51000, mean episode reward: -1360.9845336801054, time: 36.076
steps: 1299975, episodes: 52000, mean episode reward: -1353.8911164031351, time: 36.123
steps: 1324975, episodes: 53000, mean episode reward: -1367.6697212051438, time: 36.183
steps: 1349975, episodes: 54000, mean episode reward: -886.7138342240058, time: 36.043
steps: 1374975, episodes: 55000, mean episode reward: -835.5198134199416, time: 36.172
steps: 1399975, episodes: 56000, mean episode reward: -885.7567558704221, time: 36.099
steps: 1424975, episodes: 57000, mean episode reward: -1400.379128392322, time: 36.153
steps: 1449975, episodes: 58000, mean episode reward: -1355.9949449725116, time: 35.887
steps: 1474975, episodes: 59000, mean episode reward: -1376.0889271834922, time: 36.192
steps: 1499975, episodes: 60000, mean episode reward: -1366.738197766267, time: 36.109
...Finished total of 60001 episodes.
